English Word,IPA Pronunciation,German Translation,Gender,Word Type,Domains,Examples,Synonyms
Availability:,,"Copyright (C) Frank Richter  1995 - 2020,; Einhard Leichtfuß 2020-2022, Sebastian Humenda 2021; This dictionary is free software: you can redistribute it and/or modify",,,,0,
Notes:,,* Database Status: stable,,,,0,
Source(s):,,"Home: https://dict.tu-chemnitz.de/ This dictionary was generated from; the Ding  dictionary, version 1.9; (2020-12-22) using the , ding2tei-haskell",,,"https://dict.tu-chemnitz.de/, https://github.com/freedict/tools/tree/master/importers/ding2tei, https://ftp.tu-chemnitz.de/pub/Local/urz/ding/",0,
The Project:,,"This dictionary comes to you through nice people making it available for; free and for good. It is part of the FreeDict project,; https://freedict.org/. This project aims to make many translating",,,,0,
Changelog:,,* 2020-09-11 #eleichtfuss ver. 1.8.1-fd0.1:; * Initial import from Ding (version 1.8.1).; * Fixed many syntax errors and inconsistencies in the Ding,,,,0,
Ases,ˈɑːzəs,"A , A sharp , A flat , A double sharp , A double flat",,,mus.,0,"A, Aisis, As"
das A und O,das ˈɑː ʊnt ˈoː,the nuts and bolts,,,"coll., ugs.",0,
A- und B-Horizont,ˈɑː ʊnt bˈeː hˈoːriːtsˌɔnt,"A and B horizons , solum",,,"agr., geol.",1,A- und B-Boden
Aal,ˈɑːl,Eel,,,cook.,2,
Süßwasseraale,zˈysvasˌeːrɑːlə,freshwater eels,,,zool.,0,"Echte Aale, Flussaale"
Aachener Printen,ˈɑːxənɜ pɾˈɪntən,hard ginger bread from Aachen,,,cook.,0,
Aalenium,ɑːlˈeːniːˌʊm,Aalenian,,,geol.,0,Aalen
Fischmolche,fˈɪʃmɔlçə,"amphiuma salamanders, amphiumas, congo eels  , congo snakes",,,"coll., zool.",0,Aalmolche
Gebärfische,ɡəbˈɛɾfɪʃə,eelpouts,,,zool.,0,Aalmuttern
Aalstrich,ˈɑːlʃtɾɪç,"eel stripe , spinal stripe , dorsal stripe",,,"hunters' parlance, Jägersprache",0,
Aalstrich,ˈɑːlʃtɾɪç,dorsal stripe,,,zool.,0,
Aalsuppe,ˈɑːlzʊpə,eel soup,,,cook.,0,
Aalterrine,ˌɑːltɜrˈiːnə,terrine of eel,,,cook.,0,
Älchen,ˈɛːlçən,eelworms,,,"agr., zool.",0,Aaltierchen
Aasfleisch,ˈɑːsflaɪʃ,carrion,,,zool.,0,Aas
Aas fressen,ˈɑːs frˈɛsən,scavenge,,verb,zool.,0,
Aaronsstab,ˈɑːrɔnsʃtˌɑːp,Aaron's rod,,,arch.,0,
Aasfliege,ˈɑːsfliːɡə,"carrion fly , fleshfly , flesh fly",,,zool.,0,
Aasfresser,ˈɑːsfrɛsɜ,"scavenger , carrion eater , carrion feeder , scavenging animal",,,zool.,0,
Aasgeier,ˈɑːsɡaɪɜ,vulture,,,zool.,0,
Aasjäger,ˈɑːsjɛːɡɜ,"pothunter , carrion hunter",,,"hunters' parlance, Jägersprache",0,
Aaskäfer,ˈɑːskɛːfɜ,"burying beetle , sexton beetle",,,zool.,0,
Aaskrähe,ˈɑːskɾɛːə,carrion crow,,,zool.,0,
Gacki machen,ɡˈakiː mˈaxən,"do a poo , poo",,verb,"Schw., Kindersprache, children's speech",0,"käckern, groß machen, Stinker machen"
Manilahanf,mˈɑniːlˌɑːanf,abacá,,,bot.,0,"Abacá, Abaka"
Ayous,ˈaɪuːs,"abachi , obeche , samba , ayous",,,agr.,0,"Abachi, Samba"
Abakusblume,ˈɑbakˌʊsblʊmə,abacus flower,,,arch.,0,
Abakussäule,ˈɑbakˌʊsɔølə,abacus column,,,arch.,0,
A-Batterie,ˈɑː bˌateːrˈiː,A battery,,,electr.,3,
A-Hörnchen und B-Hörnchen,ˈɑː hˈœɾnçən ʊnt bˈeː hˈœɾnçən,Chip 'n Dale,,,lit.,0,
Abazissus,ˈɑbatsˌɪsʊs,colarin,,,arch.,0,
Änderung,ˈɛndərˌʊŋ,modification,,,teilweise,1,"Modifizierung, Abänderung, Modifikation"
Änderungsantrag,ˈɛndeːrʊŋsˌantɾɑːk,"amendment , proposed amendment",,,pol.,0,"Zusatzantrag, Ergänzungsantrag, Abänderungsantrag"
Abänderungsbefugnis,ˈapˌɛndeːrˌʊŋsbəfˌʊɡnɪs,"power of amendment , power to amend",,,pol.,0,
Abänderungsklage,ˈapˌɛndeːrˌʊŋsklɑːɡə,"application for variation of an order , petition for modification of judgement",,,jur.,0,
Abänderungsurkunde,ˈapˌɛndeːrʊŋsˌ??kʊndə,instrument of amendment,,,jur.,0,
Abandon,ˈɑbandˌoːn,abandonment,,,jur.,0,
Abandonerklärung,ˈɑbandˌoːnɜklˌɛːrʊŋ,notice of abandonment,,,jur.,0,
Abandonfrist,ˌɑbandɔnfrˈɪst,period allowed for abandonment,,,jur.,0,
Abbasiden,abazˈiːdən,Abbasids,,,"hist., soc.",0,
Degradierung,dˌɛɡɾadˈiːrʊŋ,"breakdown , decomposition , degradation",,,"biol., chem.",0,"Zersetzung, Abbau"
Ausbeuten,ˈaʊsbˌɔøtən,depletion,,,envir.,0,Abbau
Ausbeutung,ˈaʊsbˌɔøtʊŋ,"mining , winning extraction , winning , extracting , extraction , recovery , exploitation",,,min.,0,"Abbau, Förderung, Gewinnung"
Abraumbau,ˈapɾˌaʊmbaʊ,quarrying,,,min.,0,"Tagebau, Abbau (von Sand, Kies, Steinen) im Tagebau"
Dämpfung,dˈɛmpfʊŋ,"decay , ramp-down",,,phys.,0,Abbau
Abbau…,abˈaʊ,degradative,,adjective,"biol., chem.",0,
Abbaubarkeit,abˈaʊbaɾkˌaɪt,"degradability , decomposability",,,"biol., chem.",0,
Abbaublock,abˈaʊblɔk,"block , panel , lift",,,min.,0,
Abbaugenehmigung,abˈaʊɡənˌeːmɪɡˌʊŋ,mining permit,,,min.,0,Abbauerlaubnis
Abbaufeld,abˈaʊfɛlt,"field , district , set",,,min.,0,
Abbaugebiet,abˈaʊɡeːbˌiːt,mining area,,,min.,0,
Abbaugenehmigungsantrag,abˈaʊɡənˌeːmɪɡʊŋsˌantɾɑːk,mining permit application,,,min.,0,
Abbaurate,abaʊrˈɑːtə,"rate of decomposition/degradation , decomposition/degradation rate",,,"biol., chem.",0,Abbaugeschwindigkeit
