English Word,IPA Pronunciation,German Translation,Gender,Word Type,Domains,Examples,Synonyms
Availability:,,"Copyright (C) Frank Richter  1995 - 2020,; Einhard Leichtfuß 2020-2022, Sebastian Humenda 2021; This dictionary is free software: you can redistribute it and/or modify",,,,0,
Notes:,,* Database Status: stable,,,,0,
Source(s):,,"Home: https://dict.tu-chemnitz.de/ This dictionary was generated from; the Ding  dictionary, version 1.9; (2020-12-22) using the , ding2tei-haskell",,,"https://dict.tu-chemnitz.de/, https://github.com/freedict/tools/tree/master/importers/ding2tei, https://ftp.tu-chemnitz.de/pub/Local/urz/ding/",0,
The Project:,,"This dictionary comes to you through nice people making it available for; free and for good. It is part of the FreeDict project,; https://freedict.org/. This project aims to make many translating",,,,0,
Changelog:,,* 2020-09-11 #eleichtfuss ver. 1.8.1-fd0.1:; * Initial import from Ding (version 1.8.1).; * Fixed many syntax errors and inconsistencies in the Ding,,,,0,
the nuts and bolts,ðə nˈʌts and bˈəʊlts,das A und O,,,"coll., ugs.",0,
congo eels,kˈɒŋɡəʊ ˈiːlz,"Aalmolche , Fischmolche",,plural,"coll., zool.",0,"congo snakes, amphiuma salamanders, amphiumas"
congo snakes,kˈɒŋɡəʊ snˈeɪks,"Aalmolche , Fischmolche",,plural,"coll., zool.",0,"congo eels, amphiuma salamanders, amphiumas"
dorsal stripe,dˈɔːsəl stɹˈaɪp,Aalstrich,masculine,,"hunters' parlance, Jägersprache",0,"spinal stripe, eel stripe"
carrion hunter,kˈaɹiən hˈʌntə,Aasjäger,masculine,,"hunters' parlance, Jägersprache",0,pothunter
poo,pˈuː,"Aa machen, groß machen, Stinker machen , käckern , Gacki machen",,verb,"children's speech, Kindersprache, Schw.",0,do a poo
Manila fibre,mɐnˈɪlə fˈaɪbə,"Abacá , Abaka , Manilahanf",masculine,,"Br., bot.",0,"abacá, Manila fiber"
Manila fiber,mɐnˈɪlə fˈaɪbə,"Abacá , Abaka , Manilahanf",masculine,,"bot., Am.",0,"abacá, Manila fibre"
colour fastness,kˈʌlə fˈastnəs,"Abbildungsgenauigkeit , Abbildungsqualität",feminine,,"Br., techn.",0,color fastness
color fastness,kˈʌlə fˈastnəs,"Abbildungsgenauigkeit , Abbildungsqualität",feminine,,"techn., Am.",0,colour fastness
apologize,ɐpˈɒlədʒˌaɪz,Abbitte leisten,,,eAm.,0,apologise
apologise,ɐpˈɒlədʒˌaɪz,Abbitte leisten,,,Br.,0,apologize
valving pressure,vˈalvɪŋ pɹˈɛʃə,Abblasedruck,masculine,,"techn., Am.",0,blowing-off pressure
relief hood,ɹɪlˈiːf hˈʊd,Abblasehaube,feminine,,"mach., atmospheric",0,
dipping,dˈɪpɪŋ,Abblenden,neuter,,"Br., auto",0,dimming
dimming,dˈɪmɪŋ,Abblenden,neuter,,"auto, Am.",0,dipping
dip switch,dˈɪp swˈɪtʃ,Abblendschalter,masculine,,"Br., auto",0,"dipper, dimmer switch"
dipper,dˈɪpə,Abblendschalter,masculine,,"Br., auto",0,"dip switch, dimmer switch"
dimmer switch,dˈɪmə swˈɪtʃ,Abblendschalter,masculine,,"auto, Am.",0,"dip switch, dipper"
college dropout,kˈɒlɪdʒ dɹˈɒpaʊt,Studienabbrecher,masculine,,Am.,0,university dropout
demo,dˈɛməʊ,"Abbruch , Abriss , Schleifen",masculine,,"coll., constr.",2,"tearing down, demolishment, pulling down"
wrecker,ɹˈɛkə,Abbrucharbeiter,masculine,,Am.,0,
house breaker,hˈaʊs bɹˈeɪkə,"Abbruchfirma , Abbruchunternehmen",feminine,,"Br., constr.",0,"wrecking company, demolition company, wrecker"
wrecking company,ɹˈɛkɪŋ kˈʌmpəni,"Abbruchfirma , Abbruchunternehmen",feminine,,"constr., Am.",0,"house breaker, demolition company, wrecker"
housewrecker,hˈaʊsɹɛkə,"Abbruchfirma , Abbruchunternehmen",feminine,,"constr., Am.",0,"house breaker, demolition company, wrecker"
wrecker,ɹˈɛkə,"Abbruchfirma , Abbruchunternehmen",feminine,,"constr., Am.",0,"house breaker, demolition company, housewrecker"
NBC defence,ˌɛnbˌiːsˈiː dɪfˈɛns,ABC-Abwehr,feminine,,"Br., mil.",0,NBC defense
NBC defense,ˌɛnbˌiːsˈiː dɪfˈɛns,ABC-Abwehr,feminine,,"mil., Am.",0,NBC defence
knacker,nˈakə,"Abdecker , Schinder , Kadaverbeseitiger",masculine,,"Br., veraltet",0,renderer
weatherstrip,wˈɛðəstɹˌɪp,"Abdichtstreifen , Dichtungsleiste",feminine,,Am.,0,
moulding,mˈəʊldɪŋ,"Abdruck , Guss , Abguss",masculine,,Br.,0,molding
molding,mˈəʊldɪŋ,"Abdruck , Guss , Abguss",masculine,,Am.,0,moulding
pulling-off screw,pˈʊlɪŋ ˈɒf skɹˈuː,Abdrückschraube,feminine,,"techn., Am.",1,"pulling screw, forcing screw"
pulling screw,pˈʊlɪŋ skɹˈuː,Abdrückschraube,feminine,,"techn., Am.",0,"forcing screw, pulling-off screw"
It's not,It isn't,"Noch ist nicht aller Tage Abend., Man soll den Tag nicht vor dem Abend loben.",,,Am.,0,It's not over until it's over.
gloaming,ɡlˈəʊmɪŋ,"Abenddämmerung , Dämmerung , Dämmer",masculine,,"geogr., Sc., poet.",0,"evening twilight, dusk, twilight"
sere and yellow leaf,sˈiəɹ and jˈɛləʊ lˈiːf,"Abenddämmerung , Niedergang , Ausklang",masculine,,fig.,1,
have tea,hav tˈiː,"Abendbrot essen, zu Abend essen",,,Sc.,0,
high tea,hˈaɪ tˈiː,kaltes Abendessen mit Tee,,,"cook., Br.",0,
commune,kˈɒmjuːn,das Abendmahl empfangen,,,Am.,0,
departure board,dɪpˈɑːtʃə bˈɔːd,Abfahrtstafel,feminine,,train,0,departure indicator
departure indicator,dɪpˈɑːtʃəɹ ˈɪndɪkˌeɪtə,Abfahrtstafel,feminine,,"train, Am.",0,departure board
rubbish,ɹˈʌbɪʃ,"Abfall , Müll     , Mist   , Kehricht     , Güsel",masculine,,"Ös., Br., BW",1,"refuse, trash, garbage"
garbage,ɡˈɑːbɪdʒ,"Abfall , Müll     , Mist   , Kehricht     , Güsel",masculine,,"Ös., BW, Am.",1,"refuse, rubbish, trash"
